Foreign highly skilled personnel ,Total expenditure on R&D (%) ,Scientific research legislation ,Mobile broadband subscribers ,EParticipation ,Use of big data and analytics ,Total public exp. on education per student ,Health infrastructure ,Skilled labor ,Gross Domestic Product (GDP) ,GDP (PPP) per capita ,Exports of goods  growth ,Government budget surplus/deficit (%) ,Tax evasion ,Digital/Technological skills
-1.1121218113506035,-0.5611940298507463,-1.0327657234646257,0.5349740548554481,0.5228215767634851,-0.1852942410720524,1.8850151780690916,-0.6007067137809188,-0.3069905333876221,0.107854077089768,0.8022040727802413,0.1582619708573671,-0.3659011288439082,-0.8797559926484971,-0.0733814948596828
-0.9760271367943903,-0.5611940298507463,-1.4900998004306043,-0.4791697553743514,-1.4190871369294606,-0.1946663122997944,-0.2079383629148522,-0.734982332155477,-0.4633423249185668,0.3635124173099701,-0.4636341487322934,0.5350978919652144,-1.0315297781237838,-1.0900363664802728,0.1397332592386777
-1.153541929693799,-0.491542288557214,-1.434327352020119,-0.4284062268346926,-0.2821576763485477,-0.6089118605659614,0.4754479838458316,-0.939929328621908,-1.3623651262214982,0.4982157614718731,-0.434143475932258,1.0126471995606825,-0.9614636045153756,-0.9919055253587774,0.0905529313698255
-1.2837194444866982,-0.4218905472636816,-1.2670100067886634,-0.4791697553743514,-1.6016597510373445,-0.6089118605659614,-0.2079383629148522,-0.8374558303886926,-0.4112250610749186,0.3864390255048995,-0.476429955197807,0.5896509763126755,-0.0428182172051383,-1.319008329097095,0.1889135871075298
-0.9050212196346272,-0.4019900497512437,-1.2781644964707606,-0.7083765752409192,-1.3195020746887969,-0.6089118605659614,0.4754479838458316,-0.667844522968198,-0.3656224552117262,0.7238638570781143,-0.3798620749746533,0.7566673422379799,-0.4904632152588556,-1.1694756188167212,0.0905529313698255
-0.6860863083920237,-0.3920398009950249,-1.0941154167161593,-0.77882876204596,-0.9460580912863072,-0.584544475373834,1.1226515814466944,-0.5724381625441697,-0.1310947679153097,1.1186813772721906,-0.3033482784469772,0.8229703216756634,0.0194628260023354,-0.9031204786298054,0.4266185051403168
-0.591411752179006,-0.4318407960199005,-0.631204094909132,-0.7602668643439586,-0.6058091286307055,-0.0540852438836741,1.80246889225741,-0.1484098939929328,0.057830313517915,1.222917468018905,-0.2743187211225691,-0.9638530102588728,1.5375632541845077,-0.8844288898447586,-0.0733814948596828
-0.5263229947825562,-0.4019900497512437,-0.6758220536375201,-0.4364714603409934,0.4232365145228215,-0.3708612513813311,-0.9227871464204304,-0.3533568904593639,0.4226511604234528,1.5508212828998733,-0.0796190748141213,-1.0234417639307152,1.553133514986376,-1.0526531889101791,-1.032397888302306
-0.1002874918239762,-0.4716417910447761,-0.5252364429292098,0.1470719051148997,-0.3319502074688797,-0.6051630320748643,-1.1907489136258589,-0.2367491166077738,-0.5480328786644951,1.0983444856175526,-0.0977375389905986,-0.681016249872805,1.0665628649279877,-0.9451765533961604,-1.2209224784662407
-0.5322401545458696,-0.491542288557214,-0.71486276752486,0.1361008154188286,1.4190871369294604,-0.6707675306690539,-1.3156336084350146,-0.2579505300353358,0.0838889454397392,0.824139204880854,-0.1147751342858237,-0.6768198587691541,0.6617360840794084,-0.9545223477886838,-0.8766601833842734
